,Column,True Label,Prediction,Classes,Predicted Classes,Dataset
368,zh84KpLMcNfA,non-personal,non-personal,ean_en,,faker
369,ZlhQ3biawYYpL,personal,personal,phone_number_fr,phone_number,mimesis
370,Ic1xLJjBi,personal,personal,sex_de_DE,gender,faker
371,gender_fr_mimesis,personal,personal,gender_fr,gender,mimesis
372,word_fr_mimesis,non-personal,non-personal,word_fr,word,mimesis
373,language_mixed_mimesis,personal,personal,language_mixed,language,mimesis
374,gB9xO51DTjBlUH9PrNZ6,non-personal,non-personal,word_mixed,word,mimesis
375,swift_mixed_faker,non-personal,non-personal,swift_mixed,SWIFT/BIC code,faker
376,Fbh7x41Ztpdp4K8,non-personal,non-personal,currency_en,currency,faker
377,ean_fr_FR_faker,non-personal,non-personal,ean_fr_FR,EAN_code,faker
378,cpu_mixed_mimesis,non-personal,non-personal,cpu_mixed,cpu,mimesis
379,integer_number_de_mimesis,non-personal,non-personal,integer_number_de,integer_number,mimesis
380,last_name_en_mimesis,personal,personal,last_name_en,last_name,mimesis
381,name_en_faker,personal,personal,name_en,full_name,faker
382,rXY2Av7,non-personal,non-personal,float_number_fr,float_number,mimesis
383,blV7vY7AZQ3VZprkYS,non-personal,non-personal,float_number_en,float_number,mimesis
384,3UdRPPgdzUvZ3gpmmIC,personal,personal,email_fr,email,mimesis
385,measure_unit_de_mimesis,non-personal,non-personal,measure_unit_de,measure_unit,mimesis
386,phone_model_de_mimesis,non-personal,non-personal,phone_model_de,phone_model,mimesis
387,PQBGxbx,non-personal,non-personal,answer_mixed,answer,mimesis
388,17Kc03bfc8PXKqP,non-personal,non-personal,company_fr,company,mimesis
389,credit_card_number_en_mimesis,personal,personal,credit_card_number_en,credit_card_number,mimesis
390,AGXN6E32VUd,personal,personal,current_location_de_DE,longitude_and_latitude,faker
391,9n7IWUSmTtzQPxC5HC,personal,personal,Geolocation,longitude_and_latitude,dessi
392,YsKRWmlN2O5z0BG,non-personal,non-personal,duration_de,duration,mimesis
393,isbn_en_mimesis,non-personal,non-personal,isbn_en,isbn,mimesis
394,url_fr_FR_faker,non-personal,non-personal,url_fr_FR,url,faker
395,name_fr_FR_faker,personal,personal,name_fr_FR,full_name,faker
396,phone_number_fr_mimesis,personal,personal,phone_number_fr,phone_number,mimesis
397,answer_en_mimesis,non-personal,non-personal,answer_en,answer,mimesis
398,3PvrhZ,non-personal,non-personal,answer_fr,answer,mimesis
399,nationality_en_mimesis,personal,personal,nationality_en,nationality,mimesis
400,D6IvIwRX3U,personal,personal,first_name_en,first_name,mimesis
401,company_en_faker,non-personal,non-personal,company_en,company,faker
402,system_quality_attribute_mixed_mimesis,non-personal,non-personal,system_quality_attribute_mixed,system_quality_attribute,mimesis
403,d1J5GmKI,non-personal,non-personal,resolution_de,resolution,mimesis
404,isbn13_mixed_faker,non-personal,non-personal,isbn13_mixed,isbn,faker
405,"NIN,Date_dessi",personal,personal,"NIN,Date","date,national_identification_number",dessi
406,manufacturer_fr_mimesis,non-personal,non-personal,manufacturer_fr,manufacturer,mimesis
407,WdnrJi7sC4SFhbOMZpT,non-personal,non-personal,isbn_de,isbn,mimesis
408,VEnm0Ir7JSrig,non-personal,non-personal,version_mixed,,mimesis
409,mnVErULWHM,non-personal,non-personal,cpu_mixed,cpu,mimesis
410,phone_number_mixed_mimesis,personal,personal,phone_number_mixed,phone_number,mimesis
411,occupation_en_mimesis,personal,personal,occupation_en,job,mimesis
412,tJaJAfo16h,personal,personal,academic_degree_mixed,academic_degree/title,mimesis
413,n9dLVIdVuddLEG,personal,personal,language_en,language,mimesis
414,"NIN,Phone_number_dessi",personal,personal,"NIN,Phone_number","national_identification_number,phone_number",dessi
415,rQFnIiU74KKE,personal,personal,address_de_DE,full_address,faker
416,Date_dessi,non-personal,non-personal,Date,date,dessi
417,QwTeJIs5t2kTT7S,non-personal,non-personal,dish_mixed,dish,mimesis
418,gRoEbN48Ju6NoPeO,non-personal,non-personal,company_mixed,manufacturer,mimesis
419,wU90P0jpgjqmlMjW,personal,personal,email_mixed,email,faker
420,city_mixed_mimesis,non-personal,non-personal,city_mixed,city,mimesis
421,isbn_mixed_mimesis,non-personal,non-personal,isbn_mixed,isbn,mimesis
422,MeyyMDHqJ38aRUhR4I,personal,personal,academic_degree_de,academic_degree/title,mimesis
423,iban_en_faker,personal,personal,iban_en,iban,faker
424,academic_degree_fr_mimesis,personal,personal,academic_degree_fr,academic_degree/title,mimesis
425,system_quality_attribute_de_mimesis,non-personal,non-personal,system_quality_attribute_de,system_quality_attribute,mimesis
426,city_fr_mimesis,non-personal,non-personal,city_fr,city,mimesis
427,email_en_faker,personal,personal,email_en,email,faker
428,email_de_mimesis,personal,personal,email_de,email,mimesis
429,integer_number_fr_mimesis,non-personal,non-personal,integer_number_fr,integer_number,mimesis
430,ZieTX8Dcsm,non-personal,non-personal,date_de_DE,date,faker
431,gender_en_mimesis,personal,personal,gender_en,gender,mimesis
432,occupation_mixed_mimesis,personal,personal,occupation_mixed,job,mimesis
433,CCN_dessi,personal,personal,CCN,credit_card_number,dessi
434,byvQRZzUk1D6iNIb6zLK,non-personal,non-personal,color_de,color,mimesis
435,color_mixed_faker,non-personal,non-personal,color_mixed,,faker
436,VczCoInW3Xdi,personal,personal,nationality_mixed,nationality,mimesis
437,academic_degree_en_mimesis,personal,personal,academic_degree_en,academic_degree/title,mimesis
438,email_mixed_faker,personal,personal,email_mixed,email,faker
439,drink_de_mimesis,non-personal,non-personal,drink_de,drink,mimesis
440,ean_en_faker,non-personal,non-personal,ean_en,EAN_code,faker
441,"Email,NIN_dessi",personal,personal,"Email,NIN",national_identification_number,dessi
442,pyfloat_de_DE_faker,non-personal,non-personal,pyfloat_de_DE,float_number,faker
443,worldview_en_mimesis,personal,personal,worldview_en,religion/worldview,mimesis
444,Geolocation_dessi,personal,personal,Geolocation,longitude_and_latitude,dessi
445,thdpAOYNDeh1,non-personal,non-personal,city_fr,city,mimesis
446,ACSME,non-personal,non-personal,word_fr,word,mimesis
447,email_mixed_mimesis,personal,personal,email_mixed,email,mimesis
448,url_en_faker,non-personal,non-personal,url_en,url,faker
449,XPxxy8KcMjRC,non-personal,non-personal,drink_en,drink,mimesis
450,e1WJnLn03ov,non-personal,non-personal,ean_mixed,EAN_code,faker
451,duration_de_mimesis,non-personal,non-personal,duration_de,duration,mimesis
452,address_en_mimesis,personal,personal,address_en,full_address,mimesis
453,DLJ9YV5cC6ZKPmuME,personal,personal,occupation_de,job,mimesis
454,ssn_en_faker,personal,personal,ssn_en,national_identification_number,faker
455,SFsQ8z0WJcDfuquhXz,non-personal,non-personal,url_fr_FR,url,faker
456,isbn_de_mimesis,non-personal,non-personal,isbn_de,isbn,mimesis
457,Av0DzAUguBuQ,personal,personal,blood_group_en,blood_group,faker
458,version_fr_mimesis,non-personal,non-personal,version_fr,version,mimesis
459,b1QzraK3RXVd6M,personal,personal,ssn_mixed,national_identification_number,faker
460,YHuSAAjtylWIEp2ot,non-personal,non-personal,version_de,,mimesis
461,UdLEkHOUNX1y,non-personal,non-personal,city_de,city,mimesis
462,ZEHDjM5Giu7Nukz,personal,personal,IBAN,iban,dessi
463,fIU1mdryRMMc3emZ,non-personal,non-personal,resolution_fr,resolution,mimesis
464,w2JxhWrK,non-personal,non-personal,integer_number_en,integer_number,mimesis
465,answer_mixed_mimesis,non-personal,non-personal,answer_mixed,answer,mimesis
466,6StPAhic8ctFhgp4Iiy,personal,personal,gender_mixed,gender,mimesis
467,Fbf8zGD9pnLwdd,personal,personal,iban_en,iban,faker
468,WR0rK,non-personal,non-personal,city_mixed,city,mimesis
469,DB0ULru2p17fr4CpWDKN,personal,personal,title_de,academic_degree/title,mimesis
470,poevbLJo,personal,personal,"Email,Phone_number","email,phone_number",dessi
471,8hP1jF7TsGTrA1EEpDJ,non-personal,non-personal,url_en,url,faker
472,ZfUBfBM0lIsug,non-personal,non-personal,programming_language_mixed,programming_language,mimesis
473,political_views_fr_mimesis,personal,personal,political_views_fr,political_views,mimesis
474,ejVObfVHnyADvkxtU,personal,personal,sex_mixed,gender,faker
475,uVAlmiYI4xHG6r,personal,personal,first_name_de_DE,first_name,faker
476,xBe8Q6vNuQ2,non-personal,non-personal,isbn13_en,isbn,faker
477,BlrDp37eC,non-personal,non-personal,credit_card_provider_en,credit_card_provider,faker
478,icwIv0Pl1XRDSEO,personal,personal,Nationality,nationality,dessi
479,bVrpoiVg,non-personal,non-personal,pyint_de_DE,integer_number,faker
480,DtkzRG75,non-personal,non-personal,phone_model_en,phone_model,mimesis
481,UCcAxRUpCN,non-personal,non-personal,answer_en,answer,mimesis
482,YEZAmggQBwBA,personal,personal,first_name_fr_FR,first_name,faker
483,YxGohmYipY,personal,personal,email_de,email,mimesis
484,address_mixed_mimesis,personal,personal,address_mixed,full_address,mimesis
485,6rlLBO0FfEwAvuQg2kv,non-personal,non-personal,graphics_de,graphics,mimesis
486,currency_en_faker,non-personal,non-personal,currency_en,currency,faker
487,float_number_de_mimesis,non-personal,non-personal,float_number_de,float_number,mimesis
488,ZhD9ejW9o3RURz9,personal,personal,last_name_fr_FR,last_name,faker
489,tkku7Tow8,personal,personal,sex_fr_FR,gender,faker
490,IBAN_dessi,personal,personal,IBAN,iban,dessi
491,p935k0u7KUumWkFGDF,non-personal,non-personal,isbn_en,isbn,mimesis
492,duration_en_mimesis,non-personal,non-personal,duration_en,duration,mimesis
493,wXJ43ANV,non-personal,non-personal,credit_card_provider_de_DE,credit_card_provider,faker
494,9dCgZ51vT,personal,personal,Sexuality,sexuality,dessi
495,user_agent_de_mimesis,non-personal,non-personal,user_agent_de,user_agent,mimesis
496,credit_card_provider_en_faker,non-personal,non-personal,credit_card_provider_en,credit_card_provider,faker
497,vgJRysq,non-personal,non-personal,drink_de,drink,mimesis
498,current_location_fr_FR_faker,personal,personal,current_location_fr_FR,longitude_and_latitude,faker
499,5bcuYdswxBjpHA,non-personal,non-personal,measure_unit_de,measure_unit,mimesis
500,f2o3gyrDO1xkxw,non-personal,non-personal,swift_mixed,,faker
501,cozMdant8nXiWq,non-personal,non-personal,cpu_fr,cpu,mimesis
502,credit_card_number_fr_FR_faker,personal,personal,credit_card_number_fr_FR,credit_card_number,faker
503,xqVbwYewpUQOgXLVW,personal,personal,name_en,full_name,faker
504,88rcSxnCC8p2xgRxI5,personal,personal,credit_card_number_en,credit_card_number,faker
505,title_en_mimesis,personal,personal,title_en,academic_degree/title,mimesis
506,Race_dessi,personal,personal,Race,race,dessi
507,ID_Card_dessi,personal,personal,ID_Card,id_card,dessi
508,color_de_mimesis,non-personal,non-personal,color_de,color,mimesis
509,dish_en_mimesis,non-personal,non-personal,dish_en,dish,mimesis
510,graphics_mixed_mimesis,non-personal,non-personal,graphics_mixed,graphics,mimesis
511,o06UKuKMXR0upt,non-personal,non-personal,system_quality_attribute_fr,system_quality_attribute,mimesis
512,programming_language_fr_mimesis,non-personal,non-personal,programming_language_fr,programming_language,mimesis
513,klfN3yNRpF,personal,personal,gender_fr,gender,mimesis
514,cosTsS3DeRo7qY,personal,non-personal,passport_number_fr_FR,,faker
515,STFuEwJ77YU,personal,personal,first_name_de,first_name,mimesis
516,resolution_de_mimesis,non-personal,non-personal,resolution_de,resolution,mimesis
517,isbn_fr_mimesis,non-personal,non-personal,isbn_fr,isbn,mimesis
518,first_name_de_mimesis,personal,personal,first_name_de,first_name,mimesis
519,ean_de_DE_faker,non-personal,non-personal,ean_de_DE,EAN_code,faker
520,en68K4TunPFz4,personal,personal,political_views_mixed,political_views,mimesis
521,QBFMCArnWGhwBhsRRLF,personal,personal,title_fr,academic_degree/title,mimesis
522,RhALtY5U3SObMEq,personal,non-personal,passport_number_de_DE,,faker
523,title_de_mimesis,personal,personal,title_de,academic_degree/title,mimesis
524,drink_fr_mimesis,non-personal,non-personal,drink_fr,drink,mimesis
525,BhIoPj6r0je,personal,personal,political_views_fr,political_views,mimesis
526,y3EcO,non-personal,non-personal,word_de,word,mimesis
527,FHy6JhqXqT,personal,personal,address_de,full_address,mimesis
528,76c1zYFl7V,personal,personal,last_name_en,last_name,mimesis
529,HHNkxx6syAXvRMdYOPv,personal,personal,"Phone_number,Email","email,phone_number",dessi
530,sex_mixed_faker,personal,personal,sex_mixed,gender,faker
531,pyfloat_fr_FR_faker,non-personal,non-personal,pyfloat_fr_FR,float_number,faker
532,wt0Y3oobQmzvr3e9Xrw,personal,personal,phone_number_mixed,phone_number,mimesis
533,isbn13_de_DE_faker,non-personal,non-personal,isbn13_de_DE,isbn,faker
534,tx57Y3,personal,personal,Phone_number,phone_number,dessi
535,passport_number_de_DE_faker,personal,personal,passport_number_de_DE,passport_number,faker
536,"NIN,Email_dessi",personal,personal,"NIN,Email","email,national_identification_number",dessi
537,academic_degree_mixed_mimesis,personal,personal,academic_degree_mixed,academic_degree/title,mimesis
538,current_location_de_DE_faker,personal,personal,current_location_de_DE,longitude_and_latitude,faker
539,XBolZ9SH,personal,personal,language_fr,language,mimesis
540,political_views_mixed_mimesis,personal,personal,political_views_mixed,political_views,mimesis
541,Gqi7w4e4pxs,personal,personal,last_name_mixed,last_name,mimesis
542,phone_model_fr_mimesis,non-personal,non-personal,phone_model_fr,phone_model,mimesis
543,sex_en_faker,personal,personal,sex_en,gender,faker
544,XKANObF4OIs,personal,personal,worldview_fr,religion/worldview,mimesis
545,manufacturer_mixed_mimesis,non-personal,non-personal,manufacturer_mixed,manufacturer,mimesis
